,cull_effort,beta_interspecies*1500,beta*1500,median_outbreak_size,Lwr95%CI_outbreak_size,Upr95%CI_outbreak_size,min_outbreak_size,max_outbreak_size,quantile0.025_outbreak_size,quantile0.975_outbreak_size,median_spillover_forest,Lwr95%CI_spillover_forest,Upr95%CI_spillover_forest,min_spillover_forest,max_spillover_forest,quantile0.025_spillover_forest,quantile0.975_spillover_forest,median_spillover_border,Lwr95%CI_spillover_border,Upr95%CI_spillover_border,min_spillover_border,max_spillover_border,quantile0.025_spillover_border,quantile0.975_spillover_border,median_spillover_outside,Lwr95%CI_spillover_outside,Upr95%CI_spillover_outside,min_spillover_outside,max_spillover_outside,quantile0.025_spillover_outside,quantile0.975_spillover_outside,number_no_outbreak,%_no_outbreak,number_extinctions,%_extinctions,median_peak_infection,Lwr95%CI_peak_infection,Upr95%CI_peak_infection,min_peak_infection,max_peak_infection,quantile0.025_peak_infection,quantile0.975_peak_infection,median_time_peak_infection,Lwr95%CI_time_peak_infection,Upr95%CI_time_peak_infection,min_time_peak_infection,max_time_peak_infection,quantile0.025_time_peak_infection,quantile0.975_time_peak_infection,median_time_10%death,Lwr95%CI_time_10%death,Upr95%CI_time_10%death,min_time_10%death,max_time_10%death,quantile0.025_time_10%death,quantile0.975_time_10%death,median_time_20%death,Lwr95%CI_time_20%death,Upr95%CI_time_20%death,min_time_20%death,max_time_20%death,quantile0.025_20%death,quantile0.975_20%death,median_spillover10%_forest,Lwr95%CI_spillover10%_forest,Upr95%CI_spillover10%_forest,min_spillover10%_forest,max_spillover10%_forest,quantile0.025_spillover10%_forest,quantile0.975_spillover10%_forest,median_spillover10%_border,Lwr95%CI_spillover10%_border,Upr95%CI_spillover10%_border,min_spillover10%_border,max_spillover10%_border,quantile0.025_spillover10%_border,quantile0.975_spillover10%_border,median_spillover10%_outside,Lwr95%CI_spillover10%_outside,Upr95%CI_spillover10%_outside,min_spillover10%_outside,max_spillover10%_outside,quantile0.025_spillover10%_outside,quantile0.975_spillover10%_outside,median_spillover20%_forest,Lwr95%CI_spillover20%_forest,Upr95%CI_spillover20%_forest,min_spillover20%_forest,max_spillover20%_forest,quantile0.025_spillover20%_forest,quantile0.975_spillover20%_forest,median_spillover20%_border,Lwr95%CI_spillover20%_border,Upr95%CI_spillover20%_border,min_spillover20%_border,max_spillover20%_border,quantile0.025_spillover20%_border,quantile0.975_spillover20%_border,median_spillover20%_outside,Lwr95%CI_spillover20%_outside,Upr95%CI_spillover20%_outside,min_spillover20%_outside,max_spillover20%_outside,quantile0.025_spillover20%_outside,quantile0.975_spillover20%_outside
55,2,0.033333333,0.7,1024,1010,1037.5,0,1183,1,1135.875,0.196244444,0.192777778,0.198677778,0,0.243155556,0,0.225830556,0.024088889,0.023666667,0.024488889,0,0.030444444,0,0.028328333,0.004533333,0.004411111,0.004633333,0,0.005955556,0,0.005834444,45,18,4,1.6,240,237,246,111,308,169,286.8,64,62,65,4,153,51,92.825,52,51,53,37,133,41,83.9,60,58,61,45,148,49,93.9,0.038333333,0.037711111,0.038911111,0.027288889,0.047466667,0.032631111,0.04462,0.004666667,0.004577778,0.004733333,0.0032,0.006666667,0.00352,0.006146667,0.000888889,0.000866667,0.000911111,0.000422222,0.001377778,0.000577778,0.001244444,0.074088889,0.073533333,0.074911111,0.060911111,0.085711111,0.065084444,0.082524444,0.009066667,0.008933333,0.009177778,0.006422222,0.011911111,0.007137778,0.011155556,0.001733333,0.001688889,0.001777778,0.001088889,0.002355556,0.001251111,0.002266667
56,2,0.033333333,1,1125,1115.5,1133,0,1257,1,1196.55,0.217244444,0.215633333,0.219355556,0,0.245666667,0,0.236424444,0.026411111,0.025655556,0.026711111,0,0.032911111,0,0.031728333,0.005011111,0.004877778,0.005111111,0,0.006844444,0,0.006332778,29,11.6,45,18,330,326,332,200,424,271,379,50,49,51,38,90,41,71.5,41,40,42,30,83,32,62,47,46,48,35,91,38,68.5,0.041155556,0.040422222,0.041933333,0.032355556,0.050311111,0.033822222,0.048677778,0.004866667,0.004733333,0.005,0.003177778,0.007422222,0.003833333,0.006566667,0.000933333,0.000888889,0.000977778,0.000511111,0.001622222,0.000633333,0.001366667,0.076311111,0.075377778,0.0768,0.064644444,0.092155556,0.068355556,0.088133333,0.009333333,0.0092,0.009511111,0.006466667,0.013377778,0.007422222,0.011922222,0.001777778,0.001733333,0.001822222,0.000977778,0.002977778,0.001222222,0.002444444
57,2,0.033333333,1.3,1171,1167,1176,0,1249,1,1232,0.225166667,0.223033333,0.227611111,0,0.255755556,0,0.244419444,0.027666667,0.027233333,0.028088889,0,0.034177778,0,0.032157778,0.005377778,0.005311111,0.005511111,0,0.007177778,0,0.006456667,21,8.4,70,28,385,382,389,272,442,337.1,426.3,43,43,45,33,80,34.7,57.3,35,35,36,27,71,29,50.6,40,40,41,32,77,33,55.6,0.041866667,0.041111111,0.042377778,0.031133333,0.056777778,0.033953333,0.049537778,0.005044444,0.004955556,0.005222222,0.003244444,0.007488889,0.0038,0.007006667,0.000933333,0.000888889,0.000955556,0.000466667,0.001577778,0.000593333,0.001451111,0.078355556,0.0778,0.079266667,0.066133333,0.097177778,0.068777778,0.087455556,0.009488889,0.009288889,0.009688889,0.006088889,0.015733333,0.007077778,0.012368889,0.001822222,0.001755556,0.001911111,0.001,0.002733333,0.0012,0.002562222
58,2,0.033333333,1.6,1196.5,1193,1203,0,1290,1,1251,0.230033333,0.229177778,0.230777778,0,0.266622222,0,0.250949444,0.028066667,0.027577778,0.028422222,0,0.034822222,0,0.03232,0.005355556,0.005233333,0.0054,0,0.007288889,0,0.006706111,19,7.6,111,44.4,422,420,426,359,482,370.75,466.5,37,37,38,29,82,31,47.25,30,29,30,23,77,26,42,35,35,36,27,82,30,47,0.042977778,0.042422222,0.043622222,0.034822222,0.051866667,0.036866667,0.050722222,0.005266667,0.005155556,0.005355556,0.003044444,0.007733333,0.003716667,0.006744444,0.000977778,0.000933333,0.001022222,0.000355556,0.001911111,0.000633333,0.001516667,0.080022222,0.079444444,0.080977778,0.068422222,0.091955556,0.070727778,0.089255556,0.009733333,0.009511111,0.009933333,0.006533333,0.013222222,0.007538889,0.012444444,0.001822222,0.001777778,0.001866667,0.001177778,0.002911111,0.001311111,0.0026
59,2,0.033333333,1.9,1203.5,1199,1208,1,1273,1,1255.775,0.232466667,0.230477778,0.2337,0,0.256733333,0,0.250345556,0.028533333,0.028111111,0.028888889,0,0.036111111,0,0.03338,0.005488889,0.005388889,0.0056,0,0.007444444,0,0.006802222,9,3.6,119,47.6,443,439,447,380,504,395,483,34,34,35,26,54,29,45,28,27,28,23,48,24,38,32,31,32,27,52,28,43,0.043977778,0.043244444,0.044555556,0.035444444,0.056644444,0.036888889,0.053333333,0.005311111,0.0052,0.005422222,0.003355556,0.007866667,0.003911111,0.007288889,0.001022222,0.001,0.001066667,0.000511111,0.001955556,0.000644444,0.001533333,0.080444444,0.079555556,0.081155556,0.066977778,0.0944,0.070022222,0.091955556,0.009822222,0.009555556,0.010066667,0.006244444,0.015866667,0.007377778,0.013044444,0.001911111,0.001844444,0.001955556,0.000866667,0.003133333,0.001377778,0.002666667
60,2,0.033333333,2.2,1219,1214,1227,0,1291,1,1266.425,0.2343,0.232444444,0.235688889,0,0.259177778,2.72E-05,0.252771667,0.028811111,0.028477778,0.029177778,0,0.036377778,0,0.033162222,0.005533333,0.005422222,0.005611111,0,0.007733333,0,0.006913333,9,3.6,139,55.6,459,456,462,403,516,414,501,31,31,32,26,53,27,42,26,25,26,21,50,23,39,30,30,30,25,55,26,43,0.045066667,0.044333333,0.045822222,0.035333333,0.0558,0.037822222,0.052644444,0.005444444,0.005266667,0.005577778,0.003222222,0.008711111,0.004,0.007244444,0.001044444,0.001022222,0.001066667,0.000533333,0.002,0.000622222,0.001533333,0.081666667,0.080822222,0.082377778,0.0632,0.094311111,0.071355556,0.090511111,0.009755556,0.009444444,0.009911111,0.007266667,0.014555556,0.007666667,0.013088889,0.001888889,0.001844444,0.001933333,0.001088889,0.003,0.001288889,0.0026
61,2,0.233333333,0.7,1021.5,1011,1037,0,1159,1,1124.55,1.383277778,1.368266667,1.403811111,0,1.615755556,0,1.549788333,0.167611111,0.1659,0.169711111,0,0.210777778,0,0.200437222,0.032044444,0.031422222,0.032666667,0,0.043555556,0,0.040821667,33,13.2,3,1.2,240,235,244,123,310,178.8,296.8,64,62,65,4,113,50.45,94.65,52,51,53,37,104,40.4,81.6,60,58,61,45,118,48.4,92.2,0.263822222,0.260555556,0.267555556,0.000155556,0.3416,0.000155556,0.322777778,0.032122222,0.031422222,0.0329,0.000155556,0.045422222,0.022435,0.042859444,0.006222222,0.006066667,0.006377778,0.003266667,0.010266667,0.003795556,0.009022222,0.515044444,0.511311111,0.519244444,0.000155556,0.610711111,0.000155556,0.580782222,0.063077778,0.061755556,0.064244444,0.000155556,0.088511111,0.047355,0.081674444,0.011822222,0.011666667,0.012444444,0.006533333,0.018355556,0.008462222,0.016737778
62,2,0.233333333,1,1127.5,1120.5,1135,0,1270,1,1208.55,1.519777778,1.507644444,1.535177778,0,1.750933333,0,1.672051111,0.187211111,0.185111111,0.189622222,0,0.239088889,0,0.218792778,0.036088889,0.035544444,0.037022222,0,0.049466667,0,0.044142778,26,10.4,49,19.6,331,325.5,335,231,403,281.725,376.85,49,47.5,50,38,88,40.575,72.425,40,39,41,31,81,33,63,46,45,47,37,88,39,70,0.281711111,0.277666667,0.285444444,0.000155556,0.356066667,0.000155556,0.332383333,0.034377778,0.033444444,0.035077778,0.000155556,0.054755556,0.02555,0.046627778,0.006533333,0.006222222,0.006688889,0.003266667,0.013222222,0.004133889,0.009955556,0.536822222,0.530911111,0.5446,0.000155556,0.654266667,0.000155556,0.604955556,0.066344444,0.065177778,0.067511111,0.000155556,0.089133333,0.049719444,0.082872222,0.0126,0.012288889,0.013066667,0.007311111,0.018355556,0.009177778,0.016866111
63,2,0.233333333,1.3,1175,1171,1182,1,1262,1,1236,1.5911,1.579044444,1.607277778,0,1.7948,0,1.711072222,0.194755556,0.192577778,0.1988,0,0.238777778,0,0.229973333,0.037255556,0.036477778,0.038033333,0,0.048688889,0,0.046165,24,9.6,83,33.2,388.5,385.5,392,335,459,347,436,41,40,42,33,68,34.625,52.375,34,34,35,28,56,29,46.375,39,39,40,33,62,34,51.375,0.296877778,0.293066667,0.299911111,0.000155556,0.395266667,0.000155556,0.351594444,0.036633333,0.035777778,0.037722222,0.000155556,0.055066667,0.025098889,0.047495,0.007,0.006533333,0.007466667,0.000155556,0.012288889,0.004301111,0.010064444,0.550666667,0.545688889,0.554944444,0.000155556,0.658933333,0.000155556,0.623,0.067277778,0.066111111,0.068444444,0.000155556,0.095666667,0.048082222,0.088044444,0.013066667,0.012755556,0.013377778,0.000155556,0.020688889,0.008656667,0.017896667
64,2,0.233333333,1.6,1188,1183.5,1192,0,1262,1,1244.55,1.61,1.602844444,1.623222222,0,1.828088889,0.000155556,1.732037222,0.196544444,0.193822222,0.1988,0,0.231777778,0,0.225174444,0.037955556,0.037333333,0.038811111,0,0.052266667,0,0.045542778,15,6,111,44.4,417,413,422,350,495,374.85,465.15,37,36,37,29,62,31,51,31,30,32,24,56,26,45,36,36,37,29,61,30.85,49.15,0.303333333,0.300066667,0.308,0.000155556,0.390755556,0.000155556,0.359255556,0.0364,0.035466667,0.037177778,0.000155556,0.053044444,0.025487778,0.048591667,0.007,0.006844444,0.007311111,0.003266667,0.011977778,0.004176667,0.010204444,0.556422222,0.5516,0.562177778,0.000155556,0.658466667,0.000155556,0.629066667,0.067511111,0.066111111,0.0686,0.000155556,0.096288889,0.050485556,0.088196111,0.012911111,0.012755556,0.013377778,0.008555556,0.020844444,0.009154444,0.017912222
